Body,CobraHead Weed Puller/Cultivator - $15 (Lakewood)
Title,This bud is strong I have 3/4 of a pound left.  This will be limited and 1/4 is most I can share with anyone. Hit me up im delivering.
Body,"weed with one hell of a smoke, flavor aromatic and 27% (denver metro area)"
Title,"used twice and then moved to an apartment.
In storage at my house.
Works

PLEASE READ ENTIRE AD BEFORE CALLING.
Thank you for your consideration in buying this item(s).  I appreciate it.
If the AD is here so is the item(s) listed here in this ad.
Please call ONLY when you know you are going to make it. 
No text messages will be replied to.
Due to people not showing up I do set time limits so I am not wasting my day waiting.
Available hours to see the item(s) for sale:
Monday thru Friday noon to 2pm and or 5pm to 8pm 
Saturday and Sunday 9am to 7pm most weekends.  
Of course times will vary depending on my schedule but this gives you an idea of the time frames in which we can work with each other to get you in to buy the specific item you are interested.  
I will not ""hold"" items for anyone without payment upfront.  
I do not deliver.  Buyer must arrange for picking up and moving of the item(s). 
When you come to purchase please come prepared with the right amount of cash, adequate transportation, and the man power to get the item loaded, security straps/ropes/tie downs and packing material to move / haul the item you are buying.  I do not supply any type of securing or packing materials.  All items are sold as is without warranty or guarantee.  You the buyer must be satisfied with the condition of the item(s) before exchanging money for the item(s).  All measurements are estimated buyer to verify all sizes."
Body,TroyBilt - Weed trimmer and edger attachment - $100 (Littleton)
Title,"Thai lights / rock star kush / lemon diesel / Cali orange / king Chem kush
1/8 $30   1/4 $60   1/2 $120   oz $200
Highest quality in town
No red card needed.
Colfax and Wadsworth
 
 show contact info"
Body,"free weed, marijuana,  with donation (denver / lakewood)"
Title,"HIGHEST QUALITY IN TOWN !
NO RED CARD NEEDED
Thai lights / rock star kush / lemon diesel / Cali orange / king Chem kush
1/8 $30   1/4 $60   1/2 $120   oz $200
Colfax and wadsworth

 show contact info"
Body,"free medical grade weed, marijuana, with donation (denver / lakewood)"
Title,"WE HAVE A HUGE SELECTION: 
TROY BUILT, TORO, ROYBI, BLACK AND DECKER
<><><><><><><><><><><><><><><><><><><>
THEY CAN BE SEEN AT:
APPLIANCE NATION 
AT 4555 E. 46TH AVE
DENVER CO 80216
PHONE- 
 show contact info

<><><><><><><><><><><><><><><>
WE ARE OPEN 
MONDAY - FRIDAY 9:00AM
SAT 10:00AM - 3:00PM
<><><><><><><><><><><><>
WE OFFER A 30 DAY WARRANTY"
Body,GAS OR ELECTRIC WEED EATERS - $105 (DENVER)
Title,"Thai lights / rock star kush /  king Chem kush / blue dream / Cali orange / Thai lights / lemon diesel
1/8 $30   1/4 $60   1/2 $120   oz $200
HIGHEST QUALITY IN TOWN !
No red card needed
Colfax and Wadsworth
 
 show contact info"
Body,"free medical grade weed, marijuana,  with donation (denver / lakewood)"
Title,"COLORADO AMENDMENT 64!! COMPLIANT!
HOURS 12-8
CASH ONLY 

GET YOUR FREE NUGS WHEN YA GET $30
PURCHASE OF SMOKING ACCESSORIES OR TOBACCO ECTERA 
IN OUR HEAD SHOP!
Marijuana gift is a gift for patronizing the headshop and it is free a free 1/8 if you spend $30 or more and is not for sale , you must be 21
NO JOKE! ANYONE OVER 21 YEARS OLD WITH A ID FROM ANYWHERE.
NO MEDICAL CARD REQUIRED.
 Go to www.4strains.com
4 STRAINS .
1548 west alameda ave unit a Denver co 80223 unit c. 
Same unit as crazy needle tattoo supply."
Body,Pipes. Bongs & weed gifts. - $30 (Alameda)
Title,"HIGHEST QUALITY IN TOWN !
NO RED CARD NEEDED
purple elephant / rock star kush / Cali orange / Andy og
1/8 $30   1/4 $60   1/2 $120   oz $200
Colfax and Wadsworth
 
 show contact info"
Body,"free medical grade weed, marijuana, with donation (denver / lakewood)"
Title,"I no longer have a yard!  This was bought new from Home Depot less than a year ago.  I will include a 50 foot extension cord!  Text if interested 
 show contact info"
Body,Weed Wacker - $80 (Wittier)
Title,"Come get it before my Ads flagged again by these haters of low prices for high quality. 

 show contact info"
Body,Great weed only $175/oz - $175 (Aurora)
Title,"Model RTE115C   Call if interested 
 show contact info"
Body,Weed Eater Twist 'N Edge - $20 (AURORA)
